neg,neu,pos,compound
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.445,0.555,0.3595
0.0,0.769,0.231,0.5994
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.445,0.555,0.3595
0.0,0.738,0.262,0.5994
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.445,0.555,0.3595
0.0,0.755,0.245,0.5994
0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.445,0.555,0.3595
0.0,0.769,0.231,0.5994
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.445,0.555,0.3595
0.0,0.769,0.231,0.5994
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.445,0.555,0.3595
0.0,0.738,0.262,0.5994
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.445,0.555,0.3595
0.0,0.769,0.231,0.5994
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.445,0.555,0.3595
0.0,0.769,0.231,0.5994
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.445,0.555,0.3595
0.0,0.769,0.231,0.5994
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.445,0.555,0.3595
0.0,0.719,0.281,0.5994
0.0,1.0,0.0,0.0
0.107,0.829,0.063,-0.2263
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.14,0.86,0.0,-0.1139
0.0,0.591,0.409,0.8225
0.0,1.0,0.0,0.0
0.0,0.622,0.378,0.8074
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.775,0.225,0.4404
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.692,0.308,0.9468
0.0,0.806,0.194,0.34
0.0,1.0,0.0,0.0
0.0,0.741,0.259,0.2732
0.273,0.519,0.208,-0.128
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.584,0.416,0.6908
0.0,1.0,0.0,0.0
0.162,0.838,0.0,-0.4404
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.23,0.77,0.0,-0.3382
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.506,0.494,0.8316
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.701,0.299,0.8553
0.168,0.832,0.0,-0.4278
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.191,0.809,0.0,-0.4278
0.0,1.0,0.0,0.0
0.0,0.788,0.212,0.8553
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.445,0.555,0.3595
0.0,0.769,0.231,0.5994
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.445,0.555,0.3595
0.0,0.769,0.231,0.5994
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.445,0.555,0.3595
0.0,0.738,0.262,0.5994
0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.445,0.555,0.3595
0.0,0.769,0.231,0.5994
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.745,0.255,0.9571
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.445,0.555,0.3595
0.0,0.769,0.231,0.5994
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.445,0.555,0.3595
0.0,0.769,0.231,0.5994
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.445,0.555,0.3595
0.0,0.769,0.231,0.5994
0.0,0.854,0.146,0.0516
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.445,0.555,0.3595
0.0,0.769,0.231,0.5994
0.0,0.819,0.181,0.6369
0.0,0.606,0.394,0.0772
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.445,0.555,0.3595
0.0,0.738,0.262,0.5994
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.445,0.555,0.3595
0.0,0.738,0.262,0.5994
0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.445,0.555,0.3595
0.0,0.769,0.231,0.5994
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.445,0.555,0.3595
0.0,0.755,0.245,0.5994
0.0,0.691,0.309,0.8553
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.445,0.555,0.3595
0.0,0.738,0.262,0.5994
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.445,0.555,0.3595
0.0,0.738,0.262,0.5994
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.445,0.555,0.3595
0.0,0.769,0.231,0.5994
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.445,0.555,0.3595
0.0,0.769,0.231,0.5994
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.445,0.555,0.3595
0.0,0.769,0.231,0.5994
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.4404
0.0,0.445,0.555,0.3595
0.0,0.769,0.231,0.5994
0.0,0.68,0.32,0.8553
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.769,0.231,0.4019
0.135,0.865,0.0,-0.4215
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.584,0.416,0.6908
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.684,0.316,0.5719
0.292,0.708,0.0,-0.5106
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.69,0.31,0.9117
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.714,0.286,0.4939
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.737,0.263,0.3595
0.0,0.68,0.32,0.8553
0.0,0.834,0.166,0.3804
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.719,0.281,0.8553
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.701,0.299,0.8553
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.68,0.32,0.9571
0.0,0.829,0.171,0.2732
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.68,0.32,0.8553
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.409,0.502,0.09,-0.872
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.029,0.774,0.197,0.8399
0.0,1.0,0.0,0.0
0.0,0.431,0.569,0.765
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.652,0.348,0.4939
